H,L,nu,dp,u_b,structured,hmax,order,condense,constitutive,threads,solver,it_max,tol_min,damp_fix,damp_newton,linesearch,inverse,model,Velocity,Stress,Strain rate,Pressure
1,1,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,500,1e-08,1.0,1.0,none,pardiso,Newtonian,3.366310467284386e-05,0.0030517525910460524,0.0015258762955230256,0.003807647629919537
1,1,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,500,1e-08,1.0,1.0,none,pardiso,Newtonian,3.5492500057786345e-06,0.0006891699497988262,0.000344584974899413,0.0008197606654696128
1,1,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,500,1e-08,1.0,1.0,none,pardiso,Newtonian,3.879495033420354e-07,0.00016264413943806936,8.132206971903459e-05,0.00019839494423040197
1,1,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,500,1e-08,1.0,1.0,none,pardiso,Newtonian,4.668839860198473e-08,3.993318791293286e-05,1.9966593956466274e-05,5.032680507951332e-05
1,1,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,500,1e-08,1.0,1.0,none,pardiso,Newtonian,5.679354950045626e-09,9.844578077006417e-06,4.922289038503139e-06,1.267801206948867e-05
1,1,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,500,1e-08,1.0,1.0,none,pardiso,Newtonian,1.0021456943619398e-09,2.4612333591226002e-06,1.2306166795613422e-06,3.205756290049045e-06
