H,L,nu,dp,u_b,structured,hmax,order,condense,constitutive,threads,solver,it_max,tol_min,damp_fix,damp_newton,linesearch,inverse,model,Velocity,Stress,Strain rate,Pressure
1,1,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,500,1e-08,1.0,1.0,none,pardiso,Newtonian,1.9021278670837284e-05,0.0014786337321106436,0.0013510380590411846,0.0028186896802625747
1,1,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,500,1e-08,1.0,1.0,none,pardiso,Newtonian,2.1512697695180136e-06,0.00034325624603089364,0.0003162040923880793,0.0006325289265853036
1,1,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,500,1e-08,1.0,1.0,none,pardiso,Newtonian,2.4127335309070423e-07,8.31688935788657e-05,7.636857045865022e-05,0.0001554174877417657
1,1,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,500,1e-08,1.0,1.0,none,pardiso,Newtonian,2.9235621857711918e-08,2.045456962296239e-05,1.891539662823296e-05,3.9573285082322646e-05
1,1,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,500,1e-08,1.0,1.0,none,pardiso,Newtonian,3.615691237730541e-09,5.04208718823235e-06,4.676631092112617e-06,9.986442702270652e-06
1,1,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,500,1e-08,1.0,1.0,none,pardiso,Newtonian,8.423756910978898e-10,1.259746355641364e-06,1.1705292840190184e-06,2.5260539645082567e-06
