H,L,nu,dp,u_b,structured,hmax,order,condense,constitutive,threads,solver,it_max,tol_min,damp_fix,damp_newton,linesearch,inverse,model,tau_y,kappa,law,Velocity,Stress,Strain rate,Pressure,converged?,it
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,0.0001,G1,6.944035549715108e-06,0.0103088606658066,0.0006001388764918,0.0065559559663449,True,29
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-05,G1,6.371303504766289e-06,0.0156550395502374,0.0005988923194886,0.0103008712468799,True,31
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-06,G1,6.341101608119696e-06,0.0194545689793679,0.0005987089196008,0.0129635441831204,True,33
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-07,G1,6.339591026323248e-06,0.021565792526046,0.0005986905605636,0.014441364456653,True,35
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-08,G1,6.339481245600939e-06,0.0225066759933109,0.0005986884725719,0.0150863457279504,True,37
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1.0,G1,0.05058251857476,1.1157263578449435e-06,0.0851712969400027,3.287023884549241e-07,True,26
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,0.1,G1,0.0042732900557715,2.001686405083741e-05,0.0198249359090205,5.966244111279609e-06,True,26
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,0.01,G1,0.0003725157983892,0.0001877026226395,0.0031626399582368,5.836015039968034e-05,True,27
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,0.001,G1,3.419411394001804e-05,0.0026171536160763,0.0004056560514514,0.0011463425515912,True,28
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,0.0001,G1,2.7077346500727246e-06,0.0048000926913765,0.0002349342405434,0.0026095030599493,True,29
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-05,G1,1.6075339433491242e-06,0.0079387910831198,0.0002356526538704,0.0049349199283579,True,31
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-06,G1,1.6282742941335886e-06,0.0114848338969773,0.0002355938762349,0.007441789351343,True,32
2.0,1.0,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,50,1e-08,1.0,0.5,none,pardiso,Bingham,0.2,1e-07,G1,1.630041795665072e-06,0.01455488528035,0.0002355775649219,0.0095640447170719,True,34
