H,L,nu,dp,u_b,structured,hmax,order,condense,constitutive,threads,solver,it_max,tol_min,damp_fix,damp_newton,linesearch,inverse,model,Velocity,Stress,Strain rate,Pressure
1,1,1.0,-2.0,1.0,False,0.125,2,True,False,24,newton,500,1e-08,1.0,1.0,none,pardiso,Newtonian,5.857541554333157e-05,0.004319161287086829,0.002159580643544149,0.007650959024681673
1,1,1.0,-2.0,1.0,False,0.0625,2,True,False,24,newton,500,1e-08,1.0,1.0,none,pardiso,Newtonian,5.582746479632437e-06,0.0009599588604055487,0.00047997943020606837,0.001625060001337716
1,1,1.0,-2.0,1.0,False,0.03125,2,True,False,24,newton,500,1e-08,1.0,1.0,none,pardiso,Newtonian,6.06786005581596e-07,0.00023399954155203882,0.00011699977078952735,0.00039374498412340827
1,1,1.0,-2.0,1.0,False,0.015625,2,True,False,24,newton,500,1e-08,1.0,1.0,none,pardiso,Newtonian,7.160820989764068e-08,5.788871785656789e-05,2.8944358982889235e-05,9.7020592958556e-05
1,1,1.0,-2.0,1.0,False,0.0078125,2,True,False,24,newton,500,1e-08,1.0,1.0,none,pardiso,Newtonian,3.185662386311558e-08,1.432576818980092e-05,7.162884315550932e-06,2.395582013014887e-05
1,1,1.0,-2.0,1.0,False,0.00390625,2,True,False,24,newton,500,1e-08,1.0,1.0,none,pardiso,Newtonian,2.2481585103206317e-07,4.3615674307341934e-06,2.180784440104426e-06,6.104468575416054e-06
